"TimeStep","Velocity:0","Velocity:1","Total Energy","Internal Energy","Temperature","Speed of Sound","Pressure","Total Enthalpy","Mach Number","Density","Points:0","Points:1","Points:2"
119,267.52,0.02524,2.169e+05,1.8112e+05,252.38,318.47,63820,2.8935e+05,0.84,0.88092,-0.24847,0,0
119,267.52,0.050159,2.169e+05,1.8112e+05,252.38,318.47,63820,2.8935e+05,0.84,0.88092,-0.24843,0.0088496,0
119,264.73,0.056343,2.1669e+05,1.8165e+05,253.13,318.95,64486,2.8936e+05,0.83,0.88748,-0.15179,0,0
119,264.73,0.11092,2.1669e+05,1.8166e+05,253.13,318.95,64486,2.8936e+05,0.83,0.88748,-0.15165,0.0088496,0
119,261.92,0.11716,2.1649e+05,1.8219e+05,253.88,319.41,65149,2.8937e+05,0.82,0.89398,-0.10217,0,0
119,261.92,0.21666,2.1649e+05,1.8219e+05,253.88,319.41,65149,2.8936e+05,0.82,0.89398,-0.10196,0.0088496,0
119,259.1,0.21278,2.1628e+05,1.8271e+05,254.61,319.87,65808,2.8936e+05,0.81,0.90043,-0.072133,0,0
119,259.1,0.36172,2.1628e+05,1.8271e+05,254.61,319.87,65808,2.8936e+05,0.81,0.90043,-0.07169,0.0088496,0
119,256.26,0.42289,2.1607e+05,1.8323e+05,255.33,320.33,66466,2.8936e+05,0.8,0.90685,-0.051167,0,0
119,256.26,0.63096,2.1607e+05,1.8323e+05,255.33,320.33,66465,2.8936e+05,0.8,0.90684,-0.050543,0.0088496,0
119,253.4,0.60901,2.1585e+05,1.8374e+05,256.04,320.77,67114,2.8934e+05,0.79,0.91317,-0.038692,0,0
119,253.41,0.9487,2.1585e+05,1.8374e+05,256.04,320.77,67119,2.8935e+05,0.79,0.9132,-0.037097,0.0088496,0
119,244.73,1.8582,2.152e+05,1.8522e+05,258.1,322.06,69026,2.8928e+05,0.76,0.93158,-0.016509,0,0
119,244.74,2.3062,2.1519e+05,1.8522e+05,258.1,322.06,69029,2.8928e+05,0.76,0.93164,-0.013333,0.0069485,0
119,247.64,1.6087,2.1543e+05,1.8474e+05,257.44,321.65,68406,2.8932e+05,0.77,0.92562,-0.021451,0,0
119,247.64,2.09,2.1542e+05,1.8474e+05,257.43,321.64,68405,2.8932e+05,0.77,0.92563,-0.018692,0.0088496,0
119,250.55,1.3592,2.1566e+05,1.8427e+05,256.77,321.23,67786,2.8937e+05,0.78,0.91966,-0.026393,0,0
119,250.54,1.7322,2.1565e+05,1.8426e+05,256.76,321.22,67779,2.8936e+05,0.78,0.91959,-0.025193,0.0088496,0
119,235.88,7.2475,2.1466e+05,1.8678e+05,260.28,323.41,71096,2.8937e+05,0.73,0.95155,-0.0024393,0,0
119,235.84,8.6068,2.1467e+05,1.8679e+05,260.29,323.42,71118,2.8938e+05,0.73,0.95181,0,0.0030557,0
119,238.84,5.0295,2.1482e+05,1.8625e+05,259.53,322.95,70386,2.8932e+05,0.74,0.9447,-0.0070603,0,0
119,238.73,8.9636,2.1485e+05,1.8628e+05,259.58,322.98,70452,2.8936e+05,0.74,0.94546,0,0.0088446,0
119,241.8,2.8114,2.1499e+05,1.8571e+05,258.79,322.49,69677,2.8927e+05,0.75,0.93786,-0.011681,0,0
119,241.72,5.9416,2.1503e+05,1.8576e+05,258.85,322.53,69749,2.8933e+05,0.75,0.93863,-0.0061252,0.0088496,0
119,244.72,2.9167,2.152e+05,1.8523e+05,258.12,322.07,69045,2.893e+05,0.76,0.93181,-0.012256,0.0088496,0
119,235.81,9.5692,2.147e+05,1.8681e+05,260.32,323.44,71135,2.8943e+05,0.73,0.95187,0.0020703,0.00016342,0
119,238.64,11.749,2.1495e+05,1.8635e+05,259.67,323.04,70500,2.8949e+05,0.74,0.94564,0.0059925,0.00047301,0
119,241.52,11.62,2.1508e+05,1.858e+05,258.9,322.56,69795,2.894e+05,0.75,0.939,0.0048339,0.0092277,0
119,241.47,13.929,2.1519e+05,1.8588e+05,259.02,322.63,69865,2.8955e+05,0.75,0.9394,0.0099146,0.00078259,0
